group,Acc (thr=0.018),Acc (thr=0.018) (low),Acc (thr=0.018) (high),Acc (thr=0.018) pval,Acc (thr=0.018) effect,p(y=1|G=g),p(y=1|G=g) (low),p(y=1|G=g) (high),BS,BS (low),BS (high),BS (bal),BS (bal) (low),BS (bal) (high),AUROC,AUROC (low),AUROC (high),AUROC pval,AUROC effect,pAUPRG(recgmin=0.9),pAUPRG(recgmin=0.9) (low),pAUPRG(recgmin=0.9) (high),DRMSCE,DRMSCE (low),DRMSCE (high),Count
"sex=0, site=P/S",0.96,0.8045593626380625,0.9929037664980127,0.43157894736842106,0.09321332133213323,0.0,0.0,0.0,2.8091675965873576e-05,1.0977102813834552e-05,4.087560421146621e-05,,,,,,,,,,,,0.0032644362250608128,0.0014283480996810174,0.005553484130783719,25.0
"sex=0, site=TO",0.8916776750330251,0.8750199992659384,0.9063527805509191,0.2733333333333334,0.03340476797963021,0.016512549537648614,0.014679656538969616,0.02333223249669749,0.017372390948611205,0.01375440372845092,0.025341353499162386,0.38802632644979207,0.3664747782333317,0.4377283778955838,0.8526259234385494,0.7827230253412323,0.9225289068029328,1.0,-0.008141279220581055,0.09017047252368718,0.07781821290757164,0.09503167655086193,0.01043055122878174,0.0,0.018769693516664514,1514.0
"sex=0, site=UE",0.8782961460446247,0.8464745647998916,0.904267937416721,0.7321428571428571,0.01038443127382671,0.02028397565922921,0.00856997971602434,0.0295131845841785,0.017924562610543593,0.013767693066630693,0.020489170752948174,0.3028078650911686,0.11105551266231131,0.40468656032383205,0.9105590062111801,0.842499159628861,0.9786188375406336,0.5857142857142856,0.029496371746063232,0.0942823547579752,,,0.020267220101449296,0.001200963468474618,0.035201286021257404,493.0
"sex=0, site=nan",0.7708333333333334,0.6346073590999655,0.8669217373308877,0.43157894736842106,-0.09575284233826342,0.0,0.0,0.0,0.008738875515764518,0.0020532431284793684,0.019407959523144398,,,,,,,,,,,,0.06507125084688717,0.032247008598340114,0.09126688533860516,48.0
sex=1,0.866230677764566,0.854308813271233,0.8773170753366027,0.2733333333333334,-0.023882672361378643,0.019024970273483946,0.01384512485136742,0.022190844233055885,0.02168086551886396,0.01971103001390357,0.02626385065097739,0.4097703460110225,0.37408427251973386,0.4318908488419463,0.8685700757575757,0.8379839656877879,0.899156212992632,0.7321428571428571,0.013514876365661621,0.08415312112101753,0.07885866415532934,0.08787202816943172,0.03182250132892328,0.01612673977504101,0.04549830057661202,3364.0
"sex=1, site=H/N",0.7448979591836735,0.6795692609830062,0.8008115397102831,0.2733333333333334,-0.1477441812845539,0.07653061224489796,0.046556122448979595,0.09693877551020408,0.07777154271347934,0.05294324969811946,0.12196562372901801,0.404178428071238,0.3662638308606731,0.44502431121380653,0.8114180478821362,0.7288934034672439,0.8939427095088304,0.8986301369863015,-0.034052491188049316,0.06510464399906536,0.0461178679614103,0.0774247439136233,0.06577340130191538,0.03522590589131182,0.08866999740220151,196.0
"sex=1, site=LE",0.8910505836575876,0.867087943585476,0.9111357731962305,0.8065573770491803,0.008439983569983545,0.01556420233463035,0.014267185473411154,0.020460440985732815,0.016393238739800878,0.01375142024221066,0.02069539888157141,0.3973549744515485,0.35358045820107337,0.44406000650630423,0.9128238910847607,0.8589377062174257,0.966710124745709,0.2733333333333334,0.03716850280761719,0.09104657148023208,,,0.0,0.0,0.026867803641203246,771.0
"sex=1, site=P/S",0.8536585365853658,0.7155654195751904,0.9311575185870407,0.8065573770491803,-0.03590033361457068,0.0,0.0,0.0,0.005431233671359944,0.00034930440937751083,0.010503106228103376,,,,,,,,,,,,0.03498505577078002,0.010796161715525244,0.07140081475945284,41.0
"sex=1, site=TO",0.8731101511879049,0.8571746815282475,0.8875009982995974,0.2733333333333334,-0.015242292988317141,0.01565874730021598,0.011879049676025918,0.02093682505399568,0.01840773656897968,0.01640490910144597,0.025193015439382925,0.3986270837272506,0.3477235165862714,0.45106354328224757,0.8764257476308472,0.8306084251615146,0.9222430610445401,0.8065573770491803,0.019461452960968018,0.08586903599193967,0.08206982266843425,0.08992392826337886,0.02579403404864079,0.009561102756384877,0.038396563329434884,1852.0
"sex=1, site=UE",0.8574766355140186,0.8211720952023148,0.8874212872757091,0.2733333333333334,-0.03476795807285682,0.016355140186915886,0.005198598130841121,0.029322429906542057,0.020450348773842993,0.010364206683443134,0.0314775791863643,0.48785421438783977,0.4730594656840082,0.4995995799485022,0.7689175432643366,0.666773000063644,0.8710622403004307,0.6693877551020408,-0.0717659592628479,0.04382355367093662,,,0.014165903944646396,0.0,0.029382502224521243,428.0
"sex=1, site=nan",0.8688524590163934,0.7619811980700654,0.932019227250999,0.9710526315789474,-0.023091274998951805,0.01639344262295082,0.0,0.04549180327868853,0.02501366631877612,0.004163200018861988,0.03880725975267557,0.4919495020166354,0.4887471846935872,0.49902509383295435,,,,,,,,,0.0,0.0,0.11366032105700033,61.0
site=H/N,0.7958115183246073,0.7525366578046673,0.8331961472981284,0.2733333333333334,-0.08710501301673734,0.0549738219895288,0.03200261780104712,0.0668848167539267,0.050481136693469014,0.04219331776632836,0.06827599657250147,0.3656259576691901,0.3150232710557478,0.3990585621464399,0.8587257617728532,0.7988556598256202,0.9185959125925927,1.0,0.002123594284057617,0.07554062110762694,0.07059339200749036,0.09093107835304105,0.04068611113457123,0.0018275415223873131,0.06629295570924032,382.0
site=LE,0.9008413461538461,0.8855447595542761,0.9142914556596397,0.2733333333333334,0.03086595649018742,0.013822115384615384,0.00928485576923077,0.017157451923076925,0.015133067323403979,0.01217615137750489,0.018190024232020274,0.41274042097731056,0.37090879856690845,0.4617819405992851,0.8430437432106616,0.7573476790147947,0.9287399293226076,0.8567164179104477,-0.02333778142929077,0.08897047543454914,,,0.0,0.0,0.014103144626074449,1664.0
site=O/G,0.6153846153846154,0.4253485008511553,0.7757140556428721,0.2733333333333334,-0.2634916511183014,0.0,0.0,0.0,0.04432414223975724,0.018927643693802173,0.07078601573941729,,,,,,,,,,,,0.1310577559120014,0.04406309600693396,0.305501846832553,26.0
site=P/S,0.8939393939393939,0.7968769124835199,0.9476665274452051,0.8986301369863015,0.016274889768865708,0.0,0.0,0.0,0.0033845889761349186,0.00015779248127824338,0.009153794183017167,,,,,,,,,,,,0.02759526510048327,0.010762877941480481,0.04504742024716432,66.0
site=TO,0.8816374962919015,0.870295768408116,0.892110416117989,0.6693877551020408,0.007860279504271261,0.01601898546425393,0.011673094037377634,0.017138831207356868,0.01791545824920616,0.01530023291401263,0.018957151152999382,0.393724586063352,0.3667166542786727,0.42132604227431725,0.8646869661340569,0.8234447312469233,0.9059292006378423,0.8986301369863015,0.0035513639450073242,0.08863485612868721,0.08224202572977443,0.09213688301085803,0.017306780574842,0.010684266990717946,0.024459566160088646,3371.0
site=UE,0.868763557483731,0.8454298222674903,0.8890371790981229,0.7321428571428571,-0.010552925250338019,0.01843817787418655,0.010493492407809111,0.021447939262472886,0.019077612585242584,0.015496578853951112,0.024581160355154008,0.37896719837761345,0.3115880966910464,0.423408138139262,0.8569385765355866,0.7950721047370083,0.918805096343314,0.8986301369863015,-0.007051944732666016,0.08688951936725846,,,0.030673169413524746,0.018141387217767216,0.029615289257743996,922.0
site=nan,0.8256880733944955,0.7437300767903885,0.8854712889312255,0.43157894736842106,-0.05302441299953342,0.009174311926605505,0.0,0.027522935779816515,0.01784678596515633,0.007960535743147215,0.02878668625949152,0.4918502892634077,0.48868618445439094,0.49277977324888717,,,,,,,,,0.03594618650329854,0.0,0.0926256709629582,109.0
